,e_친환경,e_환경,s_근로,s_사회,g_지배,g_경영
0,전기차,여건,근무,대내외,재무,인사
1,전기,공간,소급,박재복,역삼각형,지배
2,수소,시스템,초과근무,자발,경영,윤여
3,저감,권혁태,노동,경제,조정,재무
4,플라스틱,위화감,격려금,사회단체,삼각형,겸영
5,청정,인프라,연봉제,나눔,개편,오너
6,전지,태만,근로자,이사회,쇄신,경영인
7,에너지,시설,재택근무,지구촌,독과점,기득
8,리사이클링,실재,교대근무,아프가니스탄,이원,서제희
9,메탄,컨디션,임금,경영,망가뜨리,가업
10,저탄소,송정훈,점근,갖춰야만,김문정,퍼블리시티
11,연료전지,좌식,연장,종교,피라미드형,하현
12,배터리,프로세스,포상금,윤리,화부,광양만
13,김영석,조건,과업,선우,상명하복,양증
14,환경친화,도한,휴무,시민,철골,사회
15,폴리에스터,작업장,준수,도덕,내부,이호규
16,카본,분위기,휴식,혁신,피라미드,승계
17,황산니켈,경관,출퇴근,성악가,변화,위기관리
18,냉매,상황,노동법,공익,오너,경내
19,보급,분장,급여,환경정화,상옥,임원진
20,녹색,안전망,통근차,균형발전,물려주,혜조
21,혼합물,인프라스트럭처,다친,교섭,대내외,지재
22,연료,접근성,휴계,경내,가업,마케팅
23,미래형,패턴,근무지,인류,재정비,통감
24,소재,패러다임,근속,공동체,과점,쇄신
25,혁신,동선,업무,겸영,수직,면책
26,크루즈,통찰력,위로금,창의,거시,유재
27,장바구니,균형,훈련,도민,망치,순모
28,완충재,지형,휴게,봉사,슬림,실행
29,에코스틸,측면,엄수,사회봉사,개혁,정책
30,에너지원,량,휴가,노사,인,재정
31,사이클링,성능,연중,중립,올드,지역상
32,산업,주야간,규정,쉼터,자구책,명관
33,조경목,강도,임금제,재난,흔들리,박종섭
34,첨단,현장,휴가제,대외,하향식,김문주
35,정화,악조건,원친,실천,평적,독립성
36,일회용품,체질,숙직,선한,겸영,윤리
37,귀마개,유연,유자녀,맹목,일본식,지주사
38,질소,자연환경,제도,방준혁,숨막히,실천
39,복합,기후,무급,보호,와토,운영
40,전기수,위압감,흡,국민체육진흥공단,역행,상임위
41,불빛,삶,지킴,아동,쇠퇴,명재
42,농업,형태,상속세,예술,오승진,송창규
43,재생,적응력,체류,모금,승계,영남
44,가솔린,기술직,일제,도회,급변,허선호
45,교통수단,문화,인센티브,자치,균형감,송준호
46,포장재,원격,조례,피켓,버킷,원숙
47,경량,대치,복지,일상,정광,우석
48,암모니아,방식,고용,능동,윤리,이경신
49,머플러,처우,출근,주오심,재정,심판
