,e_친환경,e_환경,s_근로,s_사회,g_지배,g_경영
0,저탄소,여건,근무,공헌,지배권,경영계
1,포장재,쾌적,노동법,초년생,상옥,운영
2,환경친화,작업장,초과근무,대타협,지주회사,오너
3,리사이클링,사무실,휴일,사회봉사,떠받치,세습
4,청정,시설,근로자,사회단체,수혜자,경영권
5,플라스틱,배속,연봉제,사회주의,가업,임원진
6,전기수,숨쉬기,보상제,초년,건전,진분
7,플랜트,분위기,연장,경시,균형감,가족
8,수소,좌식,제,장림동,지주사,부도덕
9,소차,가정생활,일근,각계각층,자구책,대표
10,사이클링,열약,노동절,약자,전횡,실책
11,청정에너지,악한,성과급제,문미숙,승계,특권
12,강관,깨끗,근로계약서,백년대계,완결,능력주의
13,모터배,지저분,본급,선한,의중,독선
14,지열,깔끔,수당,존공,지배력,경영주
15,에너지원,스콥,시차,노년,못됐,발버둥
16,전기분,작업량,노동계,책무,재무,영업
17,전기차,친화력,기본법,생활,출자금,근시안
18,음식물,위층,임금,인문학,급진,사장
19,탄소,근무,근무일,온정,맞물린,경영인
20,폴리머,쳬계,휴무,계층,폐해,맞기
21,연료,조성,격려금,공동선,일가,부탁드려요
22,신재,비좁,실근,정서,오너,방만
23,고기능,연식,계약서,사회학,후계,제멋대로
24,저감,휴계,외수,약사회,지배인,구닥다리
25,전기동,숨막히,금제,나눔,구조,남존여비
26,에코스틸,무재,맞교대,일상생활,꾀한,거시
27,화물창,편일,무급,아름답,세습,휙휙
28,운송업,어지러운,총량,소외감,건실,인사
29,옌펑,위화감,격주,하진수,환골탈태,관리
30,화학제품,번잡,시차출근,문화예술,튼실,탐욕
31,축전지,열악,유연근,종교,관료주의,임원
32,관자재,타이트한,유연제,기업식,철학,탁상
33,품사,근무처,근무처,자아실현,성장현,속빈
34,황산니켈,엄숙,엄수,자유민주주의,사회,우유부단
35,소와,편주,긴데,가정생활,세대교체,하극상
36,액화,예쁘다,보상금,진퇴양난,세도,구멍가게
37,전장용,너그러운,비과세,인도적,이사회,물려주
38,플랜지,처우,공제금,봉사,겸영,회시
39,고기술,갑과,만근,기독교인,내형,풍파
40,원자로,춥다,사칙,남존여비,계파,방생
41,에너지,워라,준수,의사회,계열,선견지명
42,축산업,인상깊,교대근무,편익,남양유업,그만둬야
43,자동차,공간,주야,예체능,받아들인다,아집
44,연료전지,분위,휴무일,노년층,융화,씀씀이
45,콘크리트,편이,임금제,소외,폐쇄,만드세요
46,중간재,현장,테두리,보신주의,후계자,사칙
47,전기자동차,사칙,도입,실용주의,스터디,역발상
48,평택항,청결,법체계,각층,수직,하루살이
49,식기세척기,속합니다,할당량,떠미,보여온,심이
